StringID,KO_KR
D_106909001_Talk_07,O quê? Eu tenho que ficar com ele?
D_106909001_Talk_08,Eu realmente não quero... Não posso simplesmente ir com você?
D_106909001_Talk_09,Pergunte por quê.
D_106909001_Talk_10,Eu simplesmente... não confio nele. Não posso ficar com outra pessoa?
D_106909001_Talk_11,"Hahaha, o que é isso? Algo parece familiar em relação a você... Eu te ofendi de alguma forma?"
D_106909001_Talk_12,"Bem, eu tropecei em uma pedra durante minha patrulha, mas isso realmente significa que não posso ser confiável?"
D_106909001_Talk_13,Diga que não.
D_106909001_Talk_14,Diga que você também não confia nele.
D_106909001_Talk_15,Acho que vou precisar provar meu valor mais cedo ou mais tarde...
D_106909001_Talk_16,Tudo bem. Vou verificar as instalações aqui.
D_106909001_Talk_17,Você vai para o centro com Reto. Aposto que também está em ruínas.
D_106909001_Talk_18,Há robôs desonestos por toda parte. Você terá que neutralizar os Borks de Assalto primeiro antes de poder examinar qualquer coisa.
D_106909002_Sub_01,"Embora Paro seja meio denso, ele não é uma má pessoa. Eu me pergunto por que Reto não gosta dele."
D_106909003_Sub_01,Vamos derrubar os Borks de Assalto primeiro antes de olharmos dentro.
D_106910001_Sub_01,Hora de escanear o equipamento por aqui.
D_106910002_Talk_01,Como foi? Como estão as coisas no hub central?
D_106910002_Talk_02,Diga que as coisas são as mesmas.
D_106910002_Talk_03,Era um robô gigante? Ou era uma criatura gigante? Os relatos são tão confusos.
D_106910002_Talk_04,Precisamos saber com certeza que tipo de ser pode desencadear uma destruição tão maciça nesta escala.
D_106910002_Talk_05,Verifique as zonas de controle próximas. Talvez você possa encontrar alguns registros do momento da destruição nos equipamentos de controle.
D_106910002_Talk_06,"Robôs de guarda com defeito estão atacando imprudentemente nas zonas de controle também, então tenha cuidado."
D_106910003_Sub_01,Até mesmo esses robôs fornecidos pela Accretia são assim.
D_106910003_Sub_02,Derrube-os rapidamente para que possamos seguir em frente.
D_106910004_Sub_01,Vamos para a próxima zona de controle. Vou marcar a localização.
D_106910005_Talk_01,Ouvi dizer que você estava vindo. Estou impressionado que tenha conseguido chegar aqui apesar de todos os robôs de Guarda com defeito por aqui.
D_106910005_Talk_02,Eu desbloqueei o dispositivo de vigilância. Você pode acessar os registros do momento da destruição.
D_106910005_Talk_03,Eu já os vi... Nunca tinha visto um robô assim antes.
D_106910006_Sub_01,Conecte-se ao dispositivo de vigilância. Paro também fará o check-in.
D_106911001_Talk_01,Isso... Não pode ser! Isso é Krator! Nunca pensei que estaria aqui...
D_106911001_Talk_02,Pergunte se ele conhece esta unidade.
D_106911001_Talk_03,"Este é Krator, um dos sistemas de defesa Arcano protegendo Novus."
D_106911001_Talk_04,"É semelhante à Arca, que protege o Abismo da Luz. No passado, estava sob o controle da Arca."
D_106911001_Talk_05,Ouvi dizer que desapareceu após se tornar autônomo quando a Arca perdeu o controle sobre ele.
D_106911001_Talk_06,Era algo que tínhamos que rastrear novamente após coletar todos os Núcleos Arcano. Eu nunca pensei que estaria aqui...
D_106911001_Talk_07,"Vou precisar descobrir por que Krator surgiu aqui, de todos os lugares."
D_106911001_Talk_08,"É inteligente, assim como Arca. Deve ter um propósito."
D_106911001_Talk_09,Vamos acessar a intranet e verificar os registros de envio.
D_106911001_Talk_10,Devemos conseguir nos conectar à intranet na sala de controle do hub central. Kamiel deve ter ido para lá antes. Junte-se a ela.
D_106911002_Sub_01,"Krator? Nunca ouvi falar. Então, está relacionado ao Arcano."
D_106911003_Sub_01,Kamiel compartilhou sua localização.
D_106911004_Talk_01,Aí está você. Este equipamento de controle já estava assim quando chegamos aqui.
D_106911004_Talk_02,Este lugar... parece sinistro. Como se fosse desmoronar a qualquer momento.
D_106911004_Talk_03,"Não se preocupe, Reto. Não acho que isso seja provável, mas mesmo que aconteça, eu vou te proteger."
D_106911004_Talk_04,Transmeti suas descobertas para Bellato e Accretia.
D_106911004_Talk_05,"A maioria das tropas ainda está envolvida na investigação do local do acidente do dirigível, mas elas se juntarão a nós mais tarde."
D_106911004_Talk_06,Devemos ser capazes de visualizar a rota de envio na intranet.
D_106911004_Talk_07,"No entanto, o sistema usa autenticação de 2 fatores. A liberação biométrica não é suficiente."
D_106911004_Talk_08,Os robôs trabalhadores na área devem ter códigos de acesso à intranet.
D_106911004_Talk_09,"Vou ficar aqui, cuidando do terminal e do Reto. Você trabalha para obter os códigos de acesso à intranet dos robôs trabalhadores."
D_106911005_Sub_01,Aqueles robôs de mineração devem ter o código.
D_106912001_Sub_01,Acho que já temos o suficiente para extrair as informações de que precisamos. Vamos voltar.
D_106912002_Talk_01,"Você obteve o código da intranet. Isso deve nos dar acesso. Reto, por favor, comece."
D_106912002_Talk_02,Vou desbloquear a intranet agora. Espero que encontremos algo substancial desta vez.
D_106912002_Talk_03,Pergunte se desbloquear é difícil.
D_106912002_Talk_04,"Hã? Não, não é difícil. Quase parece... abrir uma porta..."
D_106912002_Talk_05,"Ainda estamos testando sua habilidade. Claro, teremos que ir para Accretia para uma avaliação completa."
D_106912002_Talk_06,"Assim que terminarmos aqui, Callea e eu iremos para Accretia para investigar mais a fundo."
D_106912002_Talk_07,"Por enquanto, vamos nos concentrar em acessar os dados aqui."
D_106912003_Sub_01,Tudo bem. Conectar à intranet.
D_106912004_Talk_01,Os dados da intranet estão desbloqueados.
D_106912004_Talk_02,Esses dados... Até eu posso dizer o que é isso. A lista de cargas do Campo de Mineração.
D_106912004_Talk_03,Vejo o número de envio dos Cristais Sagrados. O destino não está muito longe daqui. No entanto...
D_106912004_Talk_04,Aquele monstro gigante... aquele robô chamado Krator está por perto.
D_106912004_Talk_05,"Com base na trilha de destruição que vimos até agora, parece estar atrás dos Cristais Sagrados também."
D_106912004_Talk_06,Cristais Sagrados são uma substância que só pode ser utilizada em condições muito específicas.
D_106912004_Talk_07,"Ainda assim, se você apenas considerar isso como um recurso energético... ele contém energia dezenas de vezes maior do que a das Pedras Sagradas."
D_106912004_Talk_08,Temos que obter os Cristais Sagrados antes que Krator o faça.
D_106912004_Talk_09,"Vamos voltar ao escritório principal do Campo de Mineração. Agora que sabemos onde estão os cristais, podemos pegar a aeronave até lá."
D_106912004_Talk_10,Vou levar o Reto comigo. Você cuida dos Passers que podem ser uma ameaça para nós.
D_106912005_Sub_01,Vamos neutralizar os Passer Alphas enquanto Kamiel e Reto estão se movendo.
D_106912006_Sub_01,Vamos voltar para o escritório principal. Kamiel e Reto já devem estar lá agora.
D_106913001_Talk_01,"Eu olhei no depósito de suprimentos para onde os cristais estavam indo, e parece ser ainda mais perigoso do que eu pensava."
D_106913001_Talk_02,Há monstros guardando-o que expulsam qualquer um que se aproxime. Krator parece estar controlando-os.
D_106913001_Talk_03,Precisaremos de uma pequena equipe para se mover discretamente para não atrair a atenção de Krator.
D_106913001_Talk_04,Suprimentos chave provavelmente estão isolados sob fechaduras especiais.
D_106913001_Talk_05,"Para desbloqueá-los, precisaremos de Reto, mas... esta é uma Missão perigosa."
D_106913001_Talk_06,Vou ficar bem! Não se preocupe. Sou bom em me esconder!
D_106913001_Talk_07,"Mas aquele Paro não vai conosco, vai?"
D_106913001_Talk_08,"Reto... você realmente não gosta do Paro, não é? Ele te intimidou pelas costas de todo mundo ou algo assim?"
D_106913001_Talk_09,"Não, ele não fez. Não tenho certeza do porquê, mas..."
D_106913001_Talk_10,"Eu sei que Paro pode ser um pouco demais, mas ele tem um passado impressionante."
D_106913001_Talk_11,"Ele foi um lendário piloto de MAU, reverenciado pela maioria das pessoas durante o auge da Guerra de Mineração."
D_106913001_Talk_12,Pergunte o que ela sabe sobre Paro.
D_106913001_Talk_13,Parece que você também não está familiarizado com os feitos de Paro.
D_106913001_Talk_14,Sitz Paro. Seu nome costumava ser destacado no manual de engajamento de campo da Accretia.
D_106913001_Talk_15,"Ele foi marcado como um inimigo formidável, com avisos rigorosos contra enfrentá-lo sozinho."
D_106913001_Talk_16,Eu era apenas um novato na época. Esta é a primeira vez que o vejo pessoalmente.
D_106913001_Talk_17,Ouvi dizer que os Bellateans não vivem muito sem medidas de prolongamento da vida...
D_106913001_Talk_18,"Mas, como ele viaja por toda Novus o tempo todo, eu não ficaria surpreso se ele tivesse passado por algum tratamento especial."
D_106913001_Talk_19,Vou fazer os preparativos para nossa viagem ao depósito de suprimentos. Vejo você a bordo da aeronave.
D_106913001_Talk_20,"Se Kamiel está cuidando de Reto, você não precisa de mais mãos a bordo? Eu vou com você."
D_106913001_Talk_21,"Não se esqueça do nosso acordo, certo? Você vai me dar uma parte desses Cristais Sagrados ou seja lá o que for."
D_106913002_Sub_01,Paro está aqui também. Vamos falar com ele.
D_106913002_Talk_01,"Já fui informado. Então, os cristais estão escondidos em um antigo depósito de suprimentos?"
D_106913002_Talk_02,Estou praticamente pronto. Qual é o plano? O Reto vai?
D_106913002_Talk_03,Diga que Reto não quer que Paro se junte à festa.
D_106913002_Talk_04,Ele realmente não gosta de mim tanto assim? Eu cheiro muito mal ou algo assim?
D_106913002_Talk_05,Estranho... Eu só conversei com ele algumas vezes...
D_106913002_Talk_06,"Não querendo me gabar, mas frequentemente me dizem que sou bastante encantador."
D_106913002_Talk_07,Diga a ele para não levar para o lado pessoal.
D_106913002_Talk_08,Diga a ele que ele não é tão encantador.
D_106913002_Talk_09,"Bem, eu ia fazer do meu jeito de qualquer forma. De verdade."
D_106913002_Talk_10,"Uma pequena equipe de elites faz sentido, mas se Krator aparecer, você precisará ganhar tempo para fugir, certo?"
D_106913002_Talk_11,"Vou trazer um MAU e ficar de prontidão. Embora, eu espero não ter que usá-lo."
D_106913003_Sub_01,Dirija-se ao dirigível para partir com todos.
D_106913006_Talk_01,Este é o depósito de suprimentos. Parece que foi abandonado há bastante tempo.
D_106913006_Talk_02,Parece que eles estavam tentando enviar os cristais para algum lugar sem olhares curiosos.
D_106913006_Talk_03,Estou sentindo monstros lá dentro. Os sinais são semelhantes aos de Krator.
D_106913006_Talk_04,"Bem, teremos que esmagá-los todos. Só precisamos tomar cuidado com aquele Krator ou seja lá o que for."
D_106913006_Talk_05,Esses monstros são provavelmente os lacaios sob o controle de Krator. Precisamos nos apressar.
D_106913006_Talk_06,"Não seremos capazes de lidar com Krator. Se ele aparecer, tudo o que podemos fazer é ganhar tempo, na melhor das hipóteses."
D_106913006_Talk_07,"Os cristais devem estar mais profundos. Vou manter a aeronave esperando, para que possamos partir assim que conseguirmos os Cristais Sagrados."
D_106913006_Talk_08,E-eu também estou pronto.
D_106913007_Sub_01,Capangas de Krator. Tenha cuidado!
D_106913008_Sub_01,Vamos procurar o dispositivo de armazenamento.
D_106913009_Sub_01,É maior do que eu tinha pensado...
D_106913011_Talk_01,"Há tantos bloqueios, e eles são muito complicados. Isso vai levar algum tempo."
D_106913011_Talk_02,"Uma vez que eu começar, não poderei me mover por um tempo."
D_106913011_Talk_03,Diga que você o protegerá.
D_106913011_Talk_04,Obrigado. Estou contando com você.
D_106913013_Sub_01,É o Krator! Não temos poder de fogo suficiente para derrubá-lo!
D_106913013_Sub_02,Mas precisamos de mais tempo para o Reto desbloquear o armazenamento! Você precisa mantê-lo distraído!
D_106913014_Sub_01,Sentiu minha falta? Estou aqui com um MAU!
D_106913015_Sub_01,Suba no MAU!
D_106913017_Sub_01,O Reto não acabou! Você precisa aguentar só um pouco mais!
D_106913017_Sub_02,"Uau, é realmente impressionante! Não podemos continuar assim por muito tempo! Depressa!"
D_106914003_Talk_01,Você pode se mover? Esse Biosuit salvou você. Você teria evaporado sem ele.
D_106914003_Talk_02,Pergunte o que aconteceu.
D_106914003_Talk_03,Parecia que Krator não percebeu que você saiu do MAU. Ele continuou indo atrás de você implacavelmente.
D_106914003_Talk_04,"Enquanto isso, Redtail te pegou e saiu correndo. Eu fiquei sinceramente surpreso."
D_106914003_Talk_05,"Ei, você deveria ter mantido isso entre nós! Hmph, eu só fiz isso para garantir que eu receberia minha parte dos cristais, de qualquer forma."
D_106914003_Talk_06,"Aquela pesquisadora chamada Callea pegou os cristais. Eles estão me deixando ficar com alguns fragmentos, então vou acompanhar até Bellato City."
D_106914003_Talk_07,"Não acho que seja suficiente para cobrir todos os meus problemas, mas... eles vão apagar minhas acusações de contrabando, então vou considerar isso justo."
D_106914003_Talk_08,"Considerando o quão complicado é o processo de produção, qualquer quantidade de Cristais Sagrados vale uma fortuna. Você deveria estar agradecido."
D_106914003_Talk_09,"Agora que garantimos os Cristais Sagrados, vou me juntar à investigação do acidente da aeronave Accretian."
D_106914003_Talk_10,"Embora eu ainda esteja na área, provavelmente não vou te ver novamente até que esta Missão esteja completa."
D_106914003_Talk_11,Obrigado pelo seu trabalho árduo. Foi uma honra trabalhar com você.
D_106914004_Talk_01,Meu Deus! Você realmente encontrou os Cristais Sagrados!
D_106914004_Talk_02,Ouvi dizer que havia um monstro robô gigantesco. Você está bem?
D_106914004_Talk_03,Diga que todos estão bem.
D_106914004_Talk_04,Isso é um alívio. Vou garantir que os Cristais Sagrados sejam entregues à equipe de pesquisa.
D_106914004_Talk_05,A maioria dos Mercenários Supremos parece ainda estar investigando o dirigível acidentado.
D_106914004_Talk_06,"Ainda não pediram para você se juntar a eles, mas se o fizerem, você os encontrará em Paleos."
D_106914004_Talk_07,Todas as tropas que foram enviadas para ajudar na recuperação dos Cristais Sagrados agora serão designadas para a investigação da aeronave caída.
D_106914004_Talk_08,"O local do Impacto é muito maior do que se pensava originalmente, então eles precisam de toda a mão de obra que conseguirem."
D_106914004_Talk_09,"Accretia também enviou uma unidade considerável para apoio, mas..."
D_106914004_Talk_10,A participação deles na investigação é estritamente restrita caso tentem destruir as evidências.
D_106914004_Talk_11,Apenas alguns selecionados que foram minuciosamente avaliados terão permissão para participar da investigação. É provavelmente por isso que eles queriam Kamiel imediatamente.
D_106914004_Talk_12,"De qualquer forma, você não notou nada suspeito sobre ela durante todo esse tempo, então eu diria que ela é alguém em quem podemos confiar."
D_106914004_Talk_13,"Ah, posso ver o Reto por um momento antes de partirmos? Só quero verificar como ele está."
D_106914005_Talk_01,"Obrigado por toda a Ajuda. Graças a Paro, saí inteiro dessa. Mas estou me sentindo um pouco tonto."
D_106914005_Talk_02,Pergunte se ele está bem.
D_106914005_Talk_03,No momento em que vi aquele Krator... algo veio à minha mente... mas não tenho certeza do que é.
D_106914005_Talk_04,"É vívido demais para ser apenas uma memória. Mesmo agora, sinto que poderia tocá-lo se estendesse a mão."
D_106914005_Talk_05,Isso também poderia ser parte da minha memória? Reto é realmente meu nome?
D_106914005_Talk_06,Pergunte se ele se lembra de mais alguma coisa.
D_106914005_Talk_07,"Não, não realmente. Eu apenas sinto esse senso de urgência."
D_106914005_Talk_08,"Achei que seria resolvido assim que encontrássemos os Cristais Sagrados, mas acho que não foi o caso."
D_106914005_Talk_09,Eu deveria encontrar algo... e agora estou alucinando.
D_106914005_Talk_10,Talvez eu me sinta melhor depois de descansar um pouco.
D_106914006_Talk_01,Parece que Javier e o resto dos Mercenários Supremos ainda estão investigando a aeronave caída.
D_106914006_Talk_02,Vou falar com ele e descobrir o que está acontecendo por aqui.
D_106914006_Talk_03,"Certo, ainda não descobrimos por que Reto e os outros clones foram criados em primeiro lugar."
D_106914006_Talk_04,"Acho que Reto ficará aqui. Eu me pergunto se ele ficará bem com a partida de Callea, Kamiel e Redtail."
D_106914006_Talk_05,Devemos pensar bem e decidir o que fazer a seguir.
D_106914007_Sub_01,Parece que Callea está pronta para partir. Vamos nos despedir dela.
D_106914008_Talk_01,"Com os Cristais Sagrados em mãos, tenho certeza de que a cura será concluída em pouco tempo."
D_106914008_Talk_02,Espero te ver novamente. Obrigado por tudo que você fez.
D_106914008_Talk_03,"Reto, eu realmente espero te ver novamente, também."
D_106914008_Talk_04,"Sim, eu também espero."
D_106915001_Talk_01,Agora que os Cristais Sagrados estão a caminho em segurança... Posso dar uma pausa.
D_106915001_Talk_02,"Assim que a cura estiver concluída, Kadasha se recuperará em breve."
D_106915001_Talk_03,Vamos ao Abismo da Luz e informar à Arca o que aconteceu.
D_106915005_Talk_01,"Bem-vindo de volta, Scion."
D_106915005_Talk_02,Pergunte sobre Krator.
D_106915005_Talk_03,Krator era uma máquina de guerra Arcano criada para proteger Novus.
D_106915005_Talk_04,"Enquanto meu trabalho era supervisionar o ambiente de Novus, o trabalho dele era deter invasores externos."
D_106915005_Talk_05,"No entanto, saiu de controle, mostrando apenas uma selvageria bestial."
D_106915005_Talk_06,Também é alimentado por Energia Sagrada.
D_106915005_Talk_07,A energia massiva contida nos Cristais Sagrados deve ter sido irresistível para ele.
D_106915005_Talk_08,"Deverei ser capaz de controlá-lo novamente assim que meus poderes estiverem totalmente restaurados, mas ainda não cheguei lá."
D_106915005_Talk_09,"Ainda assim, é um dos protetores de Novus. Acredito que se juntará à nossa causa quando chegar a hora."
D_106915006_Talk_01,Krator... vai se juntar a nós um dia? Não parecia ser capaz de cooperar com ninguém.
D_106915006_Talk_02,Quase arrancou minha cabeça! Droga... quem fez essa coisa? Havia aberrações entre os Arcano também?
D_106915006_Talk_03,Pergunte o que ele planeja fazer agora.
D_106915006_Talk_04,"Embora tenhamos garantido os Cristais Sagrados, ainda levará algum tempo para que a cura seja desenvolvida e realmente trate Kadasha."
D_106915006_Talk_05,"Enquanto isso, quero viajar em Accretia. Kadasha é importante, mas encontrar Lotan é igualmente importante para mim."
D_106915006_Talk_06,"Afinal, Lotan também é meu amigo."
D_106915006_Talk_07,Amigo... Acho que nunca o chamei assim antes.
D_106915006_Talk_08,"Bem, eu te verei novamente. Mantenha contato."
D_106915010_Talk_01,Aquele lugar... O que era aquela esfera? Por que... me chamou de Lotan?
D_106915010_Talk_02,Lotan... Quando ouvi esse nome... Quase respondi a ele. Parecia tão familiar...
D_106915010_Talk_03,Pergunte como ele entrou no Abismo da Luz.
D_106915010_Talk_04,"Não tenho certeza. Eu apenas vi uma porta diante de mim... Eu a toquei, e de repente eu estava lá."
D_106915010_Talk_05,O que sou eu? Sou Lotan? Eu nem sei quem é esse!
D_106915010_Talk_06,Estou tão confuso... Preciso de um momento sozinho.
D_106915011_Talk_01,"Qual é o motivo desse chamado urgente para me ver novamente tão cedo? Você não está me pedindo para trazer algo de Bellato City, está?"
D_106915011_Talk_02,Conte a ele o que aconteceu no Abismo da Luz.
D_106915011_Talk_03,O quê? Você deve estar brincando. Arca... chamado de Reto Lotan?
D_106915011_Talk_04,E Reto conseguiu entrar no Abismo da Luz por conta própria?
D_106915011_Talk_05,Isso é ridículo...
D_106915011_Talk_06,O acesso ao Abismo da Luz requer... um certo código embutido em sua mente!
D_106915011_Talk_07,"Não a Biosuit, nem o corpo, nem o cérebro, mas a mente!"
D_106915011_Talk_08,"Então, Reto entrando no Abismo da Luz significa... que sua mente realmente é de Lotan..."
D_106915011_Talk_09,"Isso é loucura. Vou ver a Arca novamente. Eu... não posso acreditar nisso, realmente gostaria que isso não fosse verdade, mas..."
D_106915011_Talk_10,Se Lotan realmente se tornou Reto... o que aconteceu com aquele corpo de metal?
D_106915011_Talk_11,Vou analisar mais algumas coisas depois de ver a Arca.
D_106915011_Talk_12,Você se concentra no que está fazendo. Até mais tarde.
D_106916001_Sub_01,"Parece que tudo ficará em espera por um tempo. Por que você não visita lugares que não teve a chance de conhecer antes, enquanto isso?"
D_107001001_Sub_01,Houve uma chamada dos Mercenários Supremos. Dane estará nos esperando no Posto Avançado Cinzento. Vamos encontrá-lo.
D_107001001_Talk_01,Faz tempo. Como você tem estado? Temos uma chamada oficial dos Supremos Mercenários hoje.
D_107001001_Talk_02,Pergunte o que está errado.
D_107001001_Talk_03,"Você sabe sobre aquela nave Accretian que caiu no território Bellatean, certo? A nave com a qual você se envolveu."
D_107001001_Talk_04,"Já faz um tempo desde o acidente, mas a nave ainda não foi identificada."
D_107001001_Talk_05,"Bellato e Accretia enviaram seus escritórios de investigação, mas o progresso foi lento porque eles eram tão cautelosos um com o outro."
D_107001001_Talk_06,"É por isso que nós, Supremos Mercenários, estamos atuando como mediadores entre as duas Facções."
D_107001001_Talk_07,"Os outros membros foram para a Base Paleon primeiro, então junte-se a eles assim que estiver pronto."
D_107001001_Talk_08,"Eu emprestei o dirigível dos Mercenários Supremos, então você pode usar isso."
D_107001002_Talk_01,"Arca me chamou de Lotan no Abismo da Luz. Eu... não sei quem é, mas..."
D_107001002_Talk_02,"Desde que ouvi o nome Lotan, uma imagem de um navio enorme tem permanecido na minha mente."
D_107001002_Talk_03,"Nunca vi o navio antes, mas a imagem é tão vívida que parece que já o vi."
D_107001002_Talk_04,Você está indo para Paleos para investigar o navio naufragado?
D_107001002_Talk_05,Seria... tudo bem se eu fosse junto também? Eu posso... lembrar mais se eu for ao local daquele navio.
D_107001002_Talk_06,Ter-me lá também ajudaria na investigação do navio.
D_107001002_Talk_07,Diga que está tudo bem para ele vir.
D_107001002_Talk_08,Obrigado. Eu não vou atrapalhar!
D_107001003_Sub_01,Vamos pegar o dirigível e seguir para a Base Paleon.
D_107001008_Sub_01,Eu vejo Javier! Os Supremos Mercenários devem estar aqui também!
D_107001008_Talk_01,É você. Estou feliz que esteja aqui. Ouvi dizer que você recuperou com segurança o Cristal Sagrado.
D_107001008_Talk_02,A pesquisa por uma cura para a infecção irá acelerar agora.
D_107001008_Talk_03,"Assim que uma cura for desenvolvida, Mars Gudelj também poderá retornar."
D_107001008_Talk_04,Pergunte sobre o status da Missão.
D_107001008_Talk_05,Nossa Missão é identificar a nave Accretian que caiu no território Bellatean e determinar a causa do acidente.
D_107001008_Talk_06,"A nave em que você foi pego era o Leviathan, uma embarcação que serve como nave-mãe."
D_107001008_Talk_07,Aquela nave caiu um pouco mais longe. Estamos investigando isso separadamente.
D_107001008_Talk_08,A aeronave embarcada no porta-aviões caiu aqui. Eles não conseguiram escapar da nave-mãe em queda.
D_107001008_Talk_09,"Recuperamos um terminal entre os destroços, mas até mesmo o Bureau de Investigação Akvaran não tinha autoridade para desbloqueá-lo."
D_107001008_Talk_10,"Solicitamos permissão para acessá-lo, mas parece que o processo será complicado..."
D_107001008_Talk_11,"De qualquer forma, quem é a criança que você trouxe com você? Este é um lugar bastante perigoso para crianças."
D_107001008_Talk_12,Diga que ele fornecerá ajuda.
D_107001008_Talk_13,Que tipo de ajuda uma criança pode dar? Hum... Vou tentar confiar em você.
D_107001009_Talk_01,"O ar está um pouco mais frio aqui. Ah, estou bem."
D_107001009_Talk_02,Há muitas pessoas. Elas devem estar aqui para investigar a nave caída.
D_107001009_Talk_03,Deixe-me saber se há algo em que eu possa ajudar.
D_107001009_Talk_04,Pergunte se é possível para ele desbloquear o terminal.
D_107001009_Talk_05,Desbloquear o terminal? Então é um terminal Accretian. Dê aqui. Posso desbloqueá-lo agora mesmo.
D_107001011_Talk_01,"Está desbloqueado. Mas, pareceu um pouco diferente do terminal que desbloqueei antes."
D_107001011_Talk_02,Parecia que eu estava abrindo uma fechadura com uma chave que já havia usado antes.
D_107001011_Talk_03,"Não verifiquei o conteúdo, então me avise se descobrir mais tarde. Também estou curioso."
D_107001012_Talk_01,Aquela criança acabou de... desbloquear o terminal Accretian?
D_107001012_Talk_02,Nem mesmo o Bureau de Investigação Akvaran conseguiu resolver... Você estava certo. Aquele garoto seria uma grande ajuda.
D_107001012_Talk_03,"No entanto, é melhor termos cuidado... Nem todos os que estão implantados nesta área são boas pessoas."
D_107001012_Talk_04,Certamente haverá pessoas que cobiçarão a habilidade daquele garoto. Devemos mantê-la escondida.
D_107001012_Talk_05,Mais uma coisa...
D_107001012_Talk_06,As forças de Karon foram avistadas perto do local dos destroços.
D_107001012_Talk_07,Pergunte sobre os Karons.
D_107001012_Talk_08,Isso mesmo. Karons. Aqueles desgraçados que espalham a infecção e cometem todo tipo de atos de terror.
D_107001012_Talk_09,Você já os encontrou antes. Eles não são inimigos fáceis.
D_107001012_Talk_10,"Ouvi dizer que eles também têm procurado entre os destroços. Ainda não causaram problemas, mas é apenas uma questão de tempo."
D_107001012_Talk_11,"Seja qual for o motivo deles estarem aqui, seja o que for, não podemos deixá-los ter isso."
D_107001012_Talk_12,Você entende? Sua Missão é investigar o acidente e rastrear as Forças de Karon.
D_107001012_Talk_13,"Agora, vá encontrar a Diretora Shalome do Bureau de Investigação Akvaran. Ela explicará o status atual da investigação."
D_107002001_Talk_01,Você é aquele mercenário. Ouvi muito sobre você.
D_107002001_Talk_02,Pergunte se ela ouviu falar de você pelo Javier.
D_107002001_Talk_03,"Javier falou sobre você, mas eu ouvi sobre você primeiro de Kamiel."
D_107002001_Talk_04,É raro Kamiel elogiar alguém tão altamente. Você deve ser incrivelmente habilidoso.
D_107002001_Talk_05,"Sou Shalome Soltis, o diretor do Bureau de Investigação Akvaran. É um prazer conhecê-lo."
D_107002001_Talk_06,"Dada a natureza sensível do assunto, pode haver aspectos que exigem um nível de confidencialidade, mas cooperaremos ao máximo possível."
D_107002001_Talk_07,Você está convidado a usar nossos suprimentos e dados filmados lá.
D_107002002_Sub_01,Ela é realmente muito legal. Talvez seja porque ela conhece Kamiel.
D_107002003_Sub_01,Parece haver suprimentos suficientes para compartilharmos. Os dados filmados devem estar lá.
D_107002004_Sub_01,Temos os suprimentos e os dados filmados. Vamos voltar para Javier agora.
D_107002004_Talk_01,Você falou com Shalome?
D_107002004_Talk_02,"É difícil ler as expressões dos Accretians, então não consigo realmente descobrir o que eles estão pensando."
D_107002004_Talk_03,"Eles estão agindo de forma amigável por enquanto, então planejamos cooperar o máximo que pudermos também."
D_107002004_Talk_04,"Mais importante, qual era o nome daquele garoto? Reto? Obtivemos algumas informações interessantes do terminal que ele desbloqueou."
D_107002004_Talk_05,"Não há registros do acidente, mas parece que esta nave esteve no ar por bastante tempo."
D_107002004_Talk_06,Os registros do terminal indicam que ele estava voando por 10 anos. Você pode acreditar nisso?
D_107002004_Talk_07,Ele evitou por pouco o alcance de detecção de Bellato ao voar fora da atmosfera.
D_107002004_Talk_08,Precisamos investigar mais a fundo para descobrir o que estava fazendo no espaço aéreo de Bellatean e por que caiu.
D_107002004_Talk_09,"Aquele garoto, Reto, foi uma grande ajuda como você disse."
D_107002004_Talk_10,"Tudo bem aquele garoto vir também. Claro, nossas forças irão protegê-lo."
D_107002004_Talk_11,"Se você estiver pronto, vamos para a Mina Diamant."
D_107002005_Sub_01,Faz um tempo desde que trabalhei com os Mercenários Supremos.
D_107002005_Sub_02,Vou verificar os registros de patrulha compartilhados pelo Bureau de Investigação Akvaran.
D_107101001_Talk_01,Eu elaborei um roteiro da Mina Diamant usando os registros de patrulha de Shalome.
D_107101001_Talk_02,Os Supremos Mercenários encontrarão as localizações dos dirigíveis restantes.
D_107101001_Talk_03,Pergunte sobre a situação na Mina Diamant.
D_107101001_Talk_04,Mina Diamant é uma mina desativada. Suas veias foram exauridas. A equipe de mineração e os equipamentos também estavam sendo retirados.
D_107101001_Talk_05,"Mas com a nave Accretian caindo, a situação ficou complicada."
D_107101001_Talk_06,"A retirada foi interrompida, e o equipamento também foi abandonado. Do ponto de vista da empresa, deve ter sido frustrante."
D_107101001_Talk_07,Acho que eles até contrataram mercenários externos para tentar recuperar o equipamento.
D_107101001_Talk_08,O problema foi que mercenários não licenciados apareceram nesse meio tempo. Um grupo chamado Chrome Arms.
D_107101001_Talk_09,"Eles apenas se chamam mercenários. Chrome Arms não são diferentes de uma gangue, e é difícil rastrear quem está por trás deles."
D_107101001_Talk_10,Parece que os Chrome Arms também estão procurando por algo perto do local do acidente.
D_107101001_Talk_11,Teremos que enfrentá-los se quisermos investigar o local do acidente.
D_107101001_Talk_12,Javier também está ciente dessa situação. Os Mercenários Supremos também ficarão de olho em suas atividades.
D_107101001_Talk_13,"Eles terão drones de patrulha estacionados nas proximidades, então se livre deles primeiro."
D_107101002_Sub_01,Os Chrome Arms também estão usando alguns dos drones mais recentes. Eles devem ter alguém seriamente poderoso os apoiando.
